metrica,modelo,p_value,p_value_significativo
densidad_entidades,mistral-7b,3.759321709210392e-06,< 0.01
densidad_entidades,qwen-latest,0.0141313460304419,= 0.01
densidad_entidades,llama3-latest,0.0486888245269129,= 0.01
densidad_entidades,deepseek-coder-6.7b,0.2943946879106366,= 0.01
densidad_entidades,phi-latest,0.3040230926619788,= 0.01
densidad_entidades,gemma-7b,0.6698227447411795,= 0.01
densidad_sustantivos,deepseek-coder-6.7b,0.1650511084315219,= 0.01
densidad_sustantivos,llama3-latest,0.2284011884230397,= 0.01
densidad_sustantivos,qwen-latest,0.308024462382314,= 0.01
densidad_sustantivos,phi-latest,0.483891672531656,= 0.01
densidad_sustantivos,gemma-7b,0.4884308594231518,= 0.01
densidad_sustantivos,mistral-7b,0.8263479934361025,= 0.01
densidad_verbos,llama3-latest,0.107895804292013,= 0.01
densidad_verbos,mistral-7b,0.1128581621109692,= 0.01
densidad_verbos,phi-latest,0.2740109841028448,= 0.01
densidad_verbos,gemma-7b,0.3386501573392394,= 0.01
densidad_verbos,qwen-latest,0.7232795059770432,= 0.01
densidad_verbos,deepseek-coder-6.7b,0.8803744913549016,= 0.01
longitud_promedio_oracion,gemma-7b,0.0740956109502568,= 0.01
longitud_promedio_oracion,qwen-latest,0.1129229486225172,= 0.01
longitud_promedio_oracion,deepseek-coder-6.7b,0.3542066270649238,= 0.01
longitud_promedio_oracion,llama3-latest,0.4093606284290056,= 0.01
longitud_promedio_oracion,mistral-7b,0.7485870169546491,= 0.01
longitud_promedio_oracion,phi-latest,0.9756332399771338,= 0.01
num_adjs,mistral-7b,0.0071766413371224,< 0.01
num_adjs,phi-latest,0.0495891401701531,= 0.01
num_adjs,gemma-7b,0.1034207091274097,= 0.01
num_adjs,deepseek-coder-6.7b,0.3324943540420372,= 0.01
num_adjs,qwen-latest,0.6485305158863044,= 0.01
num_adjs,llama3-latest,0.9915917166926504,= 0.01
num_advs,llama3-latest,0.0020011896182707,< 0.01
num_advs,phi-latest,0.0154997250310503,= 0.01
num_advs,qwen-latest,0.0303535267976094,= 0.01
num_advs,gemma-7b,0.1177445787919745,= 0.01
num_advs,mistral-7b,0.4395730229956562,= 0.01
num_advs,deepseek-coder-6.7b,0.9920393574674063,= 0.01
num_entidades,mistral-7b,1.3027607979469118e-14,< 0.01
num_entidades,qwen-latest,0.0071881505890687,< 0.01
num_entidades,gemma-7b,0.0458228195408741,= 0.01
num_entidades,llama3-latest,0.1535490313499883,= 0.01
num_entidades,deepseek-coder-6.7b,0.4015070655442673,= 0.01
num_entidades,phi-latest,0.4510053948299775,= 0.01
num_nouns,mistral-7b,8.036039932979531e-06,< 0.01
num_nouns,phi-latest,0.0922726421663218,= 0.01
num_nouns,qwen-latest,0.2788813408432391,= 0.01
num_nouns,llama3-latest,0.4334905360163329,= 0.01
num_nouns,gemma-7b,0.6233767575120258,= 0.01
num_nouns,deepseek-coder-6.7b,0.97148167866614,= 0.01
num_oraciones,mistral-7b,3.5504637570249183e-06,< 0.01
num_oraciones,phi-latest,0.0430209877136215,= 0.01
num_oraciones,llama3-latest,0.1794207279215202,= 0.01
num_oraciones,gemma-7b,0.9080158827267408,= 0.01
num_oraciones,qwen-latest,0.9488283498194025,= 0.01
num_oraciones,deepseek-coder-6.7b,0.980718923997988,= 0.01
num_palabras,mistral-7b,8.692129820297576e-07,< 0.01
num_palabras,phi-latest,0.0394660603394373,= 0.01
num_palabras,gemma-7b,0.1101390059171839,= 0.01
num_palabras,llama3-latest,0.3097607937517324,= 0.01
num_palabras,qwen-latest,0.3564661371982391,= 0.01
num_palabras,deepseek-coder-6.7b,0.3995992986373651,= 0.01
num_tokens,mistral-7b,1.8553907855378386e-07,< 0.01
num_tokens,gemma-7b,0.0447897295042185,= 0.01
num_tokens,phi-latest,0.0590434663294789,= 0.01
num_tokens,llama3-latest,0.4487383839733863,= 0.01
num_tokens,qwen-latest,0.4877791993133149,= 0.01
num_tokens,deepseek-coder-6.7b,0.5420291283958303,= 0.01
num_verbs,mistral-7b,0.0002055921979637,< 0.01
num_verbs,phi-latest,0.026339962566631,= 0.01
num_verbs,gemma-7b,0.0785318289987629,= 0.01
num_verbs,llama3-latest,0.1650220512560688,= 0.01
num_verbs,deepseek-coder-6.7b,0.4792446967215003,= 0.01
num_verbs,qwen-latest,0.6611204472149612,= 0.01
