modelo,has_numbers,rate,n
deepseek:6.7b,False,0.2894736842105263,1216
deepseek:6.7b,True,0.3342696629213483,356
gemma3:4b,False,0.43914473684210525,1216
gemma3:4b,True,0.5,356
llama3:8b,False,0.19078947368421054,1216
llama3:8b,True,0.2556179775280899,356
mistral0.2:7b,False,0.18585526315789475,1216
mistral0.2:7b,True,0.18258426966292135,356
phi3:3.8b,False,0.19161184210526316,1216
phi3:3.8b,True,0.17696629213483145,356
qwen2.5:7b,False,0.11348684210526316,1216
qwen2.5:7b,True,0.09269662921348315,356
